iteration,density_residual_log10,cl,cd
0,-4.249659507,0.09822359936,0.03466704126
0,-4.249898334,0.09822238783,0.03466674041
0,-4.250310171,0.09822118326,0.03466643728
0,-4.250818187,0.09821998943,0.03466612984
0,-4.251340754,0.09821881043,0.03466581823
0,-4.251770806,0.0982176505,0.03466550404
0,-4.252056603,0.09821651418,0.03466518923
0,-4.252120488,0.09821540624,0.03466487582
0,-4.251939408,0.09821433167,0.03466456579
0,-4.251516136,0.09821329545,0.03466426111
0,-4.250905027,0.09821230266,0.03466396371
0,-4.250203532,0.09821135836,0.0346636755
0,-4.249465217,0.09821046755,0.03466339841
0,-4.248730802,0.09820963517,0.03466313432
0,-4.248026837,0.0982088661,0.0346628851
0,-4.247436769,0.09820816515,0.03466265263
0,-4.246977259,0.09820753712,0.03466243876
0,-4.246655329,0.09820698667,0.03466224534
0,-4.246514121,0.09820640859,0.03466208214
0,-4.246508394,0.09820582109,0.0346619503
0,-4.246626172,0.09820525398,0.03466185005
0,-4.246867811,0.09820473485,0.03466178168
0,-4.247205284,0.09820428878,0.03466174564
0,-4.247582528,0.09820393822,0.03466174259
0,-4.247902848,0.09820370307,0.03466177337
0,-4.248121282,0.09820360081,0.034661839
0,-4.24818417,0.09820364665,0.03466194068
0,-4.248064067,0.0982038538,0.0346620798
0,-4.247759166,0.09820423369,0.0346622579
0,-4.247267405,0.09820479616,0.03466247665
0,-4.246641864,0.09820554979,0.03466273787
0,-4.245977021,0.0982065021,0.03466304348
0,-4.245334488,0.09820765979,0.03466339552
0,-4.244742537,0.09820902896,0.03466379612
0,-4.244251125,0.09821061544,0.03466424751
0,-4.243894193,0.09821242461,0.03466475197
0,-4.243696377,0.09821446173,0.03466531182
0,-4.243671583,0.09821673211,0.03466592943
0,-4.243821608,0.09821924111,0.03466660718
0,-4.244144563,0.09822199429,0.03466734748
0,-4.244619554,0.09822499752,0.03466815272
0,-4.245228882,0.09822825695,0.0346690253
0,-4.245909541,0.098231779,0.0346699676
0,-4.246537128,0.09823557049,0.03467098199
0,-4.247031718,0.09823963848,0.03467207077
0,-4.247326128,0.09824399009,0.03467323616
0,-4.247373988,0.09824863589,0.03467448101
0,-4.247185827,0.09825358321,0.03467580735
0,-4.246736558,0.0982588396,0.03467721713
0,-4.246059407,0.09826441263,0.03467871222
0,-4.245265824,0.09827030991,0.03468029441
0,-4.244410541,0.09827653905,0.03468196539
0,-4.243562211,0.09828310761,0.03468372676
0,-4.242774092,0.0982900231,0.03468558002
0,-4.242097703,0.09829729357,0.03468752669
0,-4.241578597,0.09830492771,0.03468956833
